PICKUP_LOCATION_ID,DROPOFF_LOCATION_ID,PAYMENT_TYPE_ID,PICKUP_DATE,PICKUP_HOUR,DROPOFF_DATE,DROPOFF_HOUR,PICKUP_BOROUGH,PICKUP_ZONE,DROPOFF_BOROUGH,DROPOFF_ZONE,PAYMENT_TYPE_NAME,PASSENGER_COUNT,TRIP_DISTANCE,DURATION_MINUTES,FARE_AMOUNT,TIP_AMOUNT,TOLLS_AMOUNT,TOTAL_AMOUNT
263,262,2,2024-04-26,13,2024-04-26,13,Manhattan,Yorkville West,Manhattan,Yorkville East,Cash,1,0.48,3,5.1,0,0,9.1
141,140,1,2024-04-26,13,2024-04-26,13,Manhattan,Lenox Hill West,Manhattan,Lenox Hill East,Credit card,1,0.51,6,6.5,2.1,0,12.6
263,140,1,2024-04-26,13,2024-04-26,13,Manhattan,Yorkville West,Manhattan,Lenox Hill East,Credit card,1,0.66,4,5.8,1.96,0,11.76
141,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Lenox Hill West,Manhattan,Upper East Side South,Credit card,1,0.26,1,3.7,1.5,0,9.2
239,166,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper West Side South,Manhattan,Morningside Heights,Credit card,1,2.63,14,16.3,4.06,0,24.36
166,161,1,2024-04-26,13,2024-04-26,13,Manhattan,Morningside Heights,Manhattan,Midtown Center,Credit card,1,5.91,18,27.5,9.45,0,40.95
161,234,1,2024-04-26,13,2024-04-26,14,Manhattan,Midtown Center,Manhattan,Union Sq,Credit card,1,1.38,9,10.7,2.94,0,17.64
234,170,1,2024-04-26,13,2024-04-26,13,Manhattan,Union Sq,Manhattan,Murray Hill,Credit card,1,1.31,21,18.4,4.48,0,26.88
161,238,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown Center,Manhattan,Upper West Side North,Credit card,1,2,14,12.8,2.5,0,19.3
239,68,1,2024-04-26,13,2024-04-26,14,Manhattan,Upper West Side South,Manhattan,East Chelsea,Credit card,4,2.6,26,20.5,10,0,34.5
88,141,1,2024-04-26,13,2024-04-26,13,Manhattan,Financial District South,Manhattan,Lenox Hill West,Credit card,1,6.43,25,30.3,8.57,0,42.87
138,3,1,2024-04-26,13,2024-04-26,13,Queens,LaGuardia Airport,Bronx,Allerton/Pelham Gardens,Credit card,2,11.16,20,42.9,16.9,6.94,74.99
236,236,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Upper East Side North,Credit card,1,0.4,4,5.1,1.36,0,10.46
236,162,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side North,Manhattan,Midtown East,Credit card,2,1.7,16,14.2,3.64,0,21.84
237,236,1,2024-04-26,13,2024-04-26,13,Manhattan,Upper East Side South,Manhattan,Upper East Side North,Credit card,1,0.7,6,6.5,5,0,15.5
132,61,1,2024-04-26,13,2024-04-26,14,Queens,JFK Airport,Brooklyn,Crown Heights North,Credit card,1,12.8,67,63.9,6,0,73.15
158,114,1,2024-04-26,13,2024-04-26,14,Manhattan,Meatpacking/West Village West,Manhattan,Greenwich Village South,Credit card,1,1.23,16,14.2,3.64,0,21.84
13,249,1,2024-04-26,13,2024-04-26,13,Manhattan,Battery Park City,Manhattan,West Village,Credit card,1,2.4,12,14.9,3.75,0,22.65
234,107,1,2024-04-26,13,2024-04-26,13,Manhattan,Union Sq,Manhattan,Gramercy,Credit card,1,0.5,8,8.6,1,0,13.6
161,163,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown Center,Manhattan,Midtown North,Credit card,1,0.32,2,4.4,1.68,0,10.08
230,138,1,2024-04-26,13,2024-04-26,14,Manhattan,Times Sq/Theatre District,Queens,LaGuardia Airport,Credit card,2,10.34,38,47.1,12.61,6.94,75.65
233,148,1,2024-04-26,13,2024-04-26,13,Manhattan,UN/Turtle Bay South,Manhattan,Lower East Side,Credit card,1,2.42,16,16.3,3.65,0,23.95
90,148,1,2024-04-26,12,2024-04-26,13,Manhattan,Flatiron,Manhattan,Lower East Side,Credit card,1,1.95,13,13.5,4.38,0,21.88
137,234,1,2024-04-26,13,2024-04-26,13,Manhattan,Kips Bay,Manhattan,Union Sq,Credit card,1,0.63,6,7.2,2.24,0,13.44
113,186,1,2024-04-26,13,2024-04-26,13,Manhattan,Greenwich Village North,Manhattan,Penn Station/Madison Sq West,Credit card,1,1.03,11,11.4,2.31,0,17.71
263,1,1,2024-04-26,13,2024-04-26,15,Manhattan,Yorkville West,EWR,Newark Airport,Credit card,1,22.51,70,120.3,10,13.38,144.68
43,162,1,2024-04-26,13,2024-04-26,13,Manhattan,Central Park,Manhattan,Midtown East,Credit card,1,1.9,15,14.9,4.72,0,23.62
233,138,1,2024-04-26,13,2024-04-26,14,Manhattan,UN/Turtle Bay South,Queens,LaGuardia Airport,Credit card,1,10.52,33,47.8,12.75,6.94,76.49
138,186,1,2024-04-26,13,2024-04-26,13,Queens,LaGuardia Airport,Manhattan,Penn Station/Madison Sq West,Credit card,1,12.1,43,56.2,14.75,6.94,88.64
237,162,1,2024-04-26,13,2024-04-26,14,Manhattan,Upper East Side South,Manhattan,Midtown East,Credit card,1,0.8,9,7.9,2.4,0,14.3
107,237,1,2024-04-26,13,2024-04-26,13,Manhattan,Gramercy,Manhattan,Upper East Side South,Credit card,2,2.6,24,21.9,7.75,0,33.65
237,50,1,2024-04-26,13,2024-04-26,14,Manhattan,Upper East Side South,Manhattan,Clinton West,Credit card,1,2.2,18,18.4,4.45,0,26.85
164,170,1,2024-04-26,13,2024-04-26,13,Manhattan,Midtown South,Manhattan,Murray Hill,Credit card,1,0.5,6,7.2,2,0,13.2
